年份,科目,地区,状态,范围,卷型,来源文件,建议Repo路径,文件数
2009,英语,福建,missing,missing,,,,0
2009,英语,江西,missing,missing,,,,0
2009,英语,湖北,missing,missing,,,,0
2009,英语,重庆,missing,missing,,,,0
2009,物理,辽宁,missing,missing,,,,0
2009,物理,安徽,missing,missing,,,,0
2009,物理,福建,missing,missing,,,,0
2009,物理,重庆,missing,missing,,,,0
2009,物理,宁夏,missing,missing,,,,0
2009,化学,辽宁,missing,missing,,,,0
2009,化学,安徽,missing,missing,,,,0
2009,化学,福建,missing,missing,,,,0
2009,化学,重庆,missing,missing,,,,0
2009,化学,宁夏,missing,missing,,,,0
2009,生物,辽宁,missing,missing,,,,0
2009,生物,安徽,missing,missing,,,,0
2009,生物,福建,missing,missing,,,,0
2009,生物,重庆,missing,missing,,,,0
2009,生物,宁夏,missing,missing,,,,0
2009,政治,辽宁,missing,missing,,,,0
2009,政治,安徽,missing,missing,,,,0
2009,政治,福建,missing,missing,,,,0
2009,政治,重庆,missing,missing,,,,0
2009,政治,宁夏,missing,missing,,,,0
2009,历史,辽宁,missing,missing,,,,0
2009,历史,安徽,missing,missing,,,,0
2009,历史,福建,missing,missing,,,,0
2009,历史,重庆,missing,missing,,,,0
2009,历史,宁夏,missing,missing,,,,0
2009,地理,辽宁,missing,missing,,,,0
2009,地理,安徽,missing,missing,,,,0
2009,地理,福建,missing,missing,,,,0
2009,地理,重庆,missing,missing,,,,0
2009,地理,宁夏,missing,missing,,,,0
2010,语文,辽宁,missing,missing,,,,0
2010,语文,安徽,missing,missing,,,,0
2010,语文,福建,missing,missing,,,,0
2010,语文,江西,missing,missing,,,,0
2010,语文,湖北,missing,missing,,,,0
2010,语文,重庆,missing,missing,,,,0
2010,数学,安徽,missing,missing,,,,0
2010,数学,福建,missing,missing,,,,0
2010,数学,湖北,missing,missing,,,,0
2010,数学,重庆,missing,missing,,,,0
2010,英语,辽宁,missing,missing,,,,0
2010,英语,安徽,missing,missing,,,,0
2010,英语,福建,missing,missing,,,,0
2010,英语,江西,missing,missing,,,,0
2010,英语,湖北,missing,missing,,,,0
2010,英语,重庆,missing,missing,,,,0
2010,物理,安徽,missing,missing,,,,0
2010,物理,福建,missing,missing,,,,0
2010,物理,重庆,missing,missing,,,,0
2010,化学,安徽,missing,missing,,,,0
2010,化学,福建,missing,missing,,,,0
2010,化学,重庆,missing,missing,,,,0
2010,生物,安徽,missing,missing,,,,0
2010,生物,福建,missing,missing,,,,0
2010,生物,重庆,missing,missing,,,,0
2010,政治,安徽,missing,missing,,,,0
2010,政治,福建,missing,missing,,,,0
2010,政治,重庆,missing,missing,,,,0
2010,历史,安徽,missing,missing,,,,0
2010,历史,福建,missing,missing,,,,0
2010,历史,重庆,missing,missing,,,,0
2010,地理,安徽,missing,missing,,,,0
2010,地理,福建,missing,missing,,,,0
2010,地理,重庆,missing,missing,,,,0
2011,语文,辽宁,missing,missing,,,,0
2011,语文,安徽,missing,missing,,,,0
2011,语文,福建,missing,missing,,,,0
2011,语文,江西,missing,missing,,,,0
2011,语文,湖北,missing,missing,,,,0
2011,语文,重庆,missing,missing,,,,0
2011,数学,安徽,missing,missing,,,,0
2011,数学,福建,missing,missing,,,,0
2011,数学,湖北,missing,missing,,,,0
2011,数学,重庆,missing,missing,,,,0
2011,英语,辽宁,missing,missing,,,,0
2011,英语,安徽,missing,missing,,,,0
2011,英语,福建,missing,missing,,,,0
2011,英语,江西,missing,missing,,,,0
2011,英语,湖北,missing,missing,,,,0
2011,英语,重庆,missing,missing,,,,0
2011,物理,安徽,missing,missing,,,,0
2011,物理,福建,missing,missing,,,,0
2011,物理,重庆,missing,missing,,,,0
2011,化学,安徽,missing,missing,,,,0
2011,化学,福建,missing,missing,,,,0
2011,化学,重庆,missing,missing,,,,0
2011,生物,安徽,missing,missing,,,,0
2011,生物,福建,missing,missing,,,,0
2011,生物,重庆,missing,missing,,,,0
2011,政治,安徽,missing,missing,,,,0
2011,政治,福建,missing,missing,,,,0
2011,政治,重庆,missing,missing,,,,0
2011,历史,安徽,missing,missing,,,,0
2011,历史,福建,missing,missing,,,,0
2011,历史,重庆,missing,missing,,,,0
2011,历史,贵州,missing,missing,,,,0
2011,地理,安徽,missing,missing,,,,0
2011,地理,福建,missing,missing,,,,0
2011,地理,重庆,missing,missing,,,,0
2012,英语,四川,missing,missing,,,,0
2015,政治,广西,missing,missing,,,,0
2018,政治,上海,missing,missing,,,,0
2018,历史,上海,missing,missing,,,,0
2018,地理,广东,missing,missing,,,,0
2019,政治,上海,missing,missing,,,,0
2020,政治,上海,missing,missing,,,,0
2020,历史,上海,missing,missing,,,,0
2021,政治,上海,missing,missing,,,,0
2021,政治,重庆,missing,missing,,,,0
2021,历史,上海,missing,missing,,,,0
2022,政治,河北,missing,missing,,,,0
2022,政治,上海,missing,missing,,,,0
2022,历史,上海,missing,missing,,,,0
2022,地理,北京,missing,missing,,,,0
2022,地理,上海,missing,missing,,,,0
2023,生物,上海,missing,missing,,,,0
2023,政治,上海,missing,missing,,,,0
2023,历史,上海,missing,missing,,,,0
2023,地理,上海,missing,missing,,,,0
2024,语文,天津,missing,missing,,,,0
2024,语文,上海,missing,missing,,,,0
2024,英语,天津,missing,missing,,,,0
2024,英语,上海,missing,missing,,,,0
2024,物理,天津,missing,missing,,,,0
2024,物理,福建,missing,missing,,,,0
2024,物理,重庆,missing,missing,,,,0
2024,物理,贵州,missing,missing,,,,0
2024,化学,天津,missing,missing,,,,0
2024,化学,福建,missing,missing,,,,0
2024,化学,江西,missing,missing,,,,0
2024,化学,广西,missing,missing,,,,0
2024,化学,海南,missing,missing,,,,0
2024,化学,重庆,missing,missing,,,,0
2024,化学,贵州,missing,missing,,,,0
2024,生物,天津,missing,missing,,,,0
2024,生物,上海,missing,missing,,,,0
2024,生物,江苏,missing,missing,,,,0
2024,生物,福建,missing,missing,,,,0
2024,生物,广西,missing,missing,,,,0
2024,生物,海南,missing,missing,,,,0
2024,生物,重庆,missing,missing,,,,0
2024,生物,贵州,missing,missing,,,,0
2024,政治,天津,missing,missing,,,,0
2024,政治,河北,missing,missing,,,,0
2024,政治,内蒙古,missing,missing,,,,0
2024,政治,上海,missing,missing,,,,0
2024,政治,江苏,missing,missing,,,,0
2024,政治,福建,missing,missing,,,,0
2024,政治,江西,missing,missing,,,,0
2024,政治,广西,missing,missing,,,,0
2024,政治,海南,missing,missing,,,,0
2024,政治,重庆,missing,missing,,,,0
2024,政治,四川,missing,missing,,,,0
2024,政治,贵州,missing,missing,,,,0
2024,政治,陕西,missing,missing,,,,0
2024,政治,甘肃,missing,missing,,,,0
2024,政治,青海,missing,missing,,,,0
2024,政治,宁夏,missing,missing,,,,0
2024,历史,天津,missing,missing,,,,0
2024,历史,河北,missing,missing,,,,0
2024,历史,福建,missing,missing,,,,0
2024,历史,江西,missing,missing,,,,0
2024,历史,广西,missing,missing,,,,0
2024,历史,海南,missing,missing,,,,0
2024,历史,贵州,missing,missing,,,,0
2024,地理,天津,missing,missing,,,,0
2024,地理,河北,missing,missing,,,,0
2024,地理,江苏,missing,missing,,,,0
2024,地理,广西,missing,missing,,,,0
2024,地理,海南,missing,missing,,,,0
2024,地理,重庆,missing,missing,,,,0
2024,地理,贵州,missing,missing,,,,0
2025,英语,天津,missing,missing,,,,0
2025,英语,上海,missing,missing,,,,0
2025,物理,天津,missing,missing,,,,0
2025,物理,贵州,missing,missing,,,,0
2025,物理,西藏,missing,missing,,,,0
2025,物理,新疆,missing,missing,,,,0
2025,化学,天津,missing,missing,,,,0
2025,化学,广西,missing,missing,,,,0
2025,化学,海南,missing,missing,,,,0
2025,化学,贵州,missing,missing,,,,0
2025,化学,西藏,missing,missing,,,,0
2025,化学,新疆,missing,missing,,,,0
2025,生物,天津,missing,missing,,,,0
2025,生物,上海,missing,missing,,,,0
2025,生物,江西,missing,missing,,,,0
2025,生物,广西,missing,missing,,,,0
2025,生物,海南,missing,missing,,,,0
2025,生物,贵州,missing,missing,,,,0
2025,生物,西藏,missing,missing,,,,0
2025,生物,甘肃,missing,missing,,,,0
2025,生物,新疆,missing,missing,,,,0
2025,政治,山西,missing,missing,,,,0
2025,政治,上海,missing,missing,,,,0
2025,政治,浙江,missing,missing,,,,0
2025,政治,海南,missing,missing,,,,0
2025,政治,西藏,missing,missing,,,,0
2025,政治,陕西,missing,missing,,,,0
2025,政治,甘肃,missing,missing,,,,0
2025,政治,青海,missing,missing,,,,0
2025,政治,宁夏,missing,missing,,,,0
2025,政治,新疆,missing,missing,,,,0
2025,历史,天津,missing,missing,,,,0
2025,历史,上海,missing,missing,,,,0
2025,历史,浙江,missing,missing,,,,0
2025,历史,福建,missing,missing,,,,0
2025,历史,江西,missing,missing,,,,0
2025,历史,广西,missing,missing,,,,0
2025,历史,海南,missing,missing,,,,0
2025,历史,贵州,missing,missing,,,,0
2025,历史,西藏,missing,missing,,,,0
2025,历史,新疆,missing,missing,,,,0
2025,地理,天津,missing,missing,,,,0
2025,地理,福建,missing,missing,,,,0
2025,地理,江西,analysis_only,local,江西卷,H:\New folder\2025全国各省高考真题+答案\13、江西卷（物理、历史、化学、地理、政治、生物）\2025年高考江西地理参考答案-e299e12ec537.jpg,papers/2025/地理/江西/江西卷/2025_地理_江西_江西卷_analysis.jpg,2
2025,地理,广西,missing,missing,,,,0
2025,地理,海南,missing,missing,,,,0
2025,地理,西藏,missing,missing,,,,0
2025,地理,甘肃,missing,missing,,,,0
2025,地理,新疆,missing,missing,,,,0
2026,语文,北京,missing,missing,,,,0
2026,语文,天津,missing,missing,,,,0
2026,语文,上海,missing,missing,,,,0
2026,数学,北京,missing,missing,,,,0
2026,数学,上海,missing,missing,,,,0
2026,英语,北京,missing,missing,,,,0
2026,英语,天津,missing,missing,,,,0
2026,英语,上海,missing,missing,,,,0
2026,物理,北京,placeholder,local,北京卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\北京卷\物理\2026年高考物理真题和答案 .rar,papers/2026/物理/北京/北京卷/2026_物理_北京_北京卷_placeholder.rar,1
2026,物理,上海,missing,missing,,,,0
2026,物理,浙江,placeholder,local,浙江卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\浙江卷\物理\2026年高考物理真题和答案 .rar,papers/2026/物理/浙江/浙江卷/2026_物理_浙江_浙江卷_placeholder.rar,1
2026,物理,广西,placeholder,local,广西卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\广西卷\物理\2026年高考物理真题和答案 .rar,papers/2026/物理/广西/广西卷/2026_物理_广西_广西卷_placeholder.rar,1
2026,物理,海南,placeholder,local,海南卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\海南卷\物理\2026年高考物理真题和答案 .rar,papers/2026/物理/海南/海南卷/2026_物理_海南_海南卷_placeholder.rar,1
2026,物理,重庆,placeholder,local,重庆卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\重庆卷\物理\2026年高考物理真题和答案 .rar,papers/2026/物理/重庆/重庆卷/2026_物理_重庆_重庆卷_placeholder.rar,1
2026,物理,西藏,missing,missing,,,,0
2026,物理,新疆,missing,missing,,,,0
2026,化学,北京,placeholder,local,北京卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\北京卷\化学\2026年高考化学试题和答案.rar,papers/2026/化学/北京/北京卷/2026_化学_北京_北京卷_placeholder.rar,1
2026,化学,天津,placeholder,local,天津卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\天津卷\化学\2026年高考化学试题和答案.rar,papers/2026/化学/天津/天津卷/2026_化学_天津_天津卷_placeholder.rar,1
2026,化学,上海,missing,missing,,,,0
2026,化学,安徽,placeholder,local,安徽卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\安徽卷\化学\2026年高考化学试题和答案.rar,papers/2026/化学/安徽/安徽卷/2026_化学_安徽_安徽卷_placeholder.rar,1
2026,化学,江西,placeholder,local,江西卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\江西卷\化学\2026年高考化学试题和答案.rar,papers/2026/化学/江西/江西卷/2026_化学_江西_江西卷_placeholder.rar,1
2026,化学,山东,placeholder,local,山东卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\山东卷\化学\2026年高考化学试题和答案.rar,papers/2026/化学/山东/山东卷/2026_化学_山东_山东卷_placeholder.rar,1
2026,化学,湖北,placeholder,local,湖北卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\湖北卷\化学\2026年高考化学试题和答案.rar,papers/2026/化学/湖北/湖北卷/2026_化学_湖北_湖北卷_placeholder.rar,1
2026,化学,广西,placeholder,local,广西卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\广西卷\化学\2026年高考化学试题和答案.rar,papers/2026/化学/广西/广西卷/2026_化学_广西_广西卷_placeholder.rar,1
2026,化学,海南,placeholder,local,海南卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\海南卷\化学\2026年高考化学试题和答案.rar,papers/2026/化学/海南/海南卷/2026_化学_海南_海南卷_placeholder.rar,1
2026,化学,重庆,placeholder,local,重庆卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\重庆卷\化学\2026年高考化学试题和答案.rar,papers/2026/化学/重庆/重庆卷/2026_化学_重庆_重庆卷_placeholder.rar,1
2026,化学,西藏,missing,missing,,,,0
2026,化学,甘肃,placeholder,local,甘肃卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\甘肃卷\化学\2026年高考化学试题和答案.rar,papers/2026/化学/甘肃/甘肃卷/2026_化学_甘肃_甘肃卷_placeholder.rar,1
2026,化学,新疆,missing,missing,,,,0
2026,生物,北京,placeholder,local,北京卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\北京卷\生物\2026年高考生物试题和答案.rar,papers/2026/生物/北京/北京卷/2026_生物_北京_北京卷_placeholder.rar,1
2026,生物,天津,placeholder,local,天津卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\天津卷\生物\2026年高考生物试题和答案.rar,papers/2026/生物/天津/天津卷/2026_生物_天津_天津卷_placeholder.rar,1
2026,生物,上海,missing,missing,,,,0
2026,生物,江苏,placeholder,local,江苏卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\江苏卷\生物\2026年高考生物试题和答案.rar,papers/2026/生物/江苏/江苏卷/2026_生物_江苏_江苏卷_placeholder.rar,1
2026,生物,浙江,placeholder,local,浙江卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\浙江卷\生物\2026年高考生物试题和答案.rar,papers/2026/生物/浙江/浙江卷/2026_生物_浙江_浙江卷_placeholder.rar,1
2026,生物,广西,placeholder,local,广西卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\广西卷\生物\2026年高考生物试题和答案.rar,papers/2026/生物/广西/广西卷/2026_生物_广西_广西卷_placeholder.rar,1
2026,生物,海南,placeholder,local,海南卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\海南卷\生物\2026年高考生物试题和答案.rar,papers/2026/生物/海南/海南卷/2026_生物_海南_海南卷_placeholder.rar,1
2026,生物,重庆,placeholder,local,重庆卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\重庆卷\生物\2026年高考生物试题和答案.rar,papers/2026/生物/重庆/重庆卷/2026_生物_重庆_重庆卷_placeholder.rar,1
2026,生物,西藏,missing,missing,,,,0
2026,生物,甘肃,placeholder,local,甘肃卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\甘肃卷\生物\2026年高考生物试题和答案.rar,papers/2026/生物/甘肃/甘肃卷/2026_生物_甘肃_甘肃卷_placeholder.rar,1
2026,生物,新疆,missing,missing,,,,0
2026,政治,天津,placeholder,local,天津卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\天津卷\政治\2026年高考政治试题和答案.rar,papers/2026/政治/天津/天津卷/2026_政治_天津_天津卷_placeholder.rar,1
2026,政治,内蒙古,placeholder,local,内蒙古卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\黑吉辽蒙卷\政治\2026年高考政治试题和答案.rar,papers/2026/政治/内蒙古/内蒙古卷/2026_政治_内蒙古_内蒙古卷_placeholder.rar,1
2026,政治,辽宁,placeholder,local,辽宁卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\黑吉辽蒙卷\政治\2026年高考政治试题和答案.rar,papers/2026/政治/辽宁/辽宁卷/2026_政治_辽宁_辽宁卷_placeholder.rar,1
2026,政治,吉林,placeholder,local,吉林卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\黑吉辽蒙卷\政治\2026年高考政治试题和答案.rar,papers/2026/政治/吉林/吉林卷/2026_政治_吉林_吉林卷_placeholder.rar,1
2026,政治,黑龙江,placeholder,local,黑龙江卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\黑吉辽蒙卷\政治\2026年高考政治试题和答案.rar,papers/2026/政治/黑龙江/黑龙江卷/2026_政治_黑龙江_黑龙江卷_placeholder.rar,1
2026,政治,上海,missing,missing,,,,0
2026,政治,江苏,placeholder,local,江苏卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\江苏卷\政治\2026年高考政治试题和答案.rar,papers/2026/政治/江苏/江苏卷/2026_政治_江苏_江苏卷_placeholder.rar,1
2026,政治,浙江,placeholder,local,浙江卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\浙江卷\政治\2026年高考政治试题和答案.rar,papers/2026/政治/浙江/浙江卷/2026_政治_浙江_浙江卷_placeholder.rar,1
2026,政治,安徽,placeholder,local,安徽卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\安徽卷\政治\2026年高考政治试题和答案.rar,papers/2026/政治/安徽/安徽卷/2026_政治_安徽_安徽卷_placeholder.rar,1
2026,政治,江西,placeholder,local,江西卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\江西卷\政治\2026年高考政治试题和答案.rar,papers/2026/政治/江西/江西卷/2026_政治_江西_江西卷_placeholder.rar,1
2026,政治,贵州,placeholder,local,贵州卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\贵州卷\政治\2026年高考政治试题和答案.rar,papers/2026/政治/贵州/贵州卷/2026_政治_贵州_贵州卷_placeholder.rar,1
2026,政治,西藏,missing,missing,,,,0
2026,政治,甘肃,placeholder,local,甘肃卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\甘肃卷\政治\2026年高考政治试题和答案.rar,papers/2026/政治/甘肃/甘肃卷/2026_政治_甘肃_甘肃卷_placeholder.rar,1
2026,政治,新疆,missing,missing,,,,0
2026,历史,北京,placeholder,local,北京卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\北京卷\历史\2026年高考历史真题和答案 .rar,papers/2026/历史/北京/北京卷/2026_历史_北京_北京卷_placeholder.rar,1
2026,历史,天津,placeholder,local,天津卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\天津卷\历史\2026年高考历史真题和答案 .rar,papers/2026/历史/天津/天津卷/2026_历史_天津_天津卷_placeholder.rar,1
2026,历史,河北,placeholder,local,河北卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\河北卷\历史\2026年高考历史真题和答案 .rar,papers/2026/历史/河北/河北卷/2026_历史_河北_河北卷_placeholder.rar,1
2026,历史,上海,missing,missing,,,,0
2026,历史,安徽,placeholder,local,安徽卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\安徽卷\历史\2026年高考历史真题和答案 .rar,papers/2026/历史/安徽/安徽卷/2026_历史_安徽_安徽卷_placeholder.rar,1
2026,历史,江西,placeholder,local,江西卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\江西卷\历史\2026年高考历史真题和答案 .rar,papers/2026/历史/江西/江西卷/2026_历史_江西_江西卷_placeholder.rar,1
2026,历史,湖北,placeholder,local,湖北卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\湖北卷\历史\2026年高考历史真题和答案 .rar,papers/2026/历史/湖北/湖北卷/2026_历史_湖北_湖北卷_placeholder.rar,1
2026,历史,海南,placeholder,local,海南卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\海南卷\历史\2026年高考历史真题和答案 .rar,papers/2026/历史/海南/海南卷/2026_历史_海南_海南卷_placeholder.rar,1
2026,历史,重庆,placeholder,local,重庆卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\重庆卷\历史\2026年高考历史真题和答案 .rar,papers/2026/历史/重庆/重庆卷/2026_历史_重庆_重庆卷_placeholder.rar,1
2026,历史,西藏,missing,missing,,,,0
2026,历史,甘肃,placeholder,local,甘肃卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\甘肃卷\历史\2026年高考历史真题和答案 .rar,papers/2026/历史/甘肃/甘肃卷/2026_历史_甘肃_甘肃卷_placeholder.rar,1
2026,历史,新疆,missing,missing,,,,0
2026,地理,北京,missing,missing,,,,0
2026,地理,天津,missing,missing,,,,0
2026,地理,上海,missing,missing,,,,0
2026,地理,浙江,missing,missing,,,,0
2026,地理,安徽,placeholder,local,安徽卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\安徽卷\地理\2026年高考地理试题和答案.rar,papers/2026/地理/安徽/安徽卷/2026_地理_安徽_安徽卷_placeholder.rar,1
2026,地理,江西,placeholder,local,江西卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\江西卷\地理\2026年高考地理试题和答案.rar,papers/2026/地理/江西/江西卷/2026_地理_江西_江西卷_placeholder.rar,1
2026,地理,河南,placeholder,local,河南卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\河南卷\地理\2026年高考地理试题和答案.rar,papers/2026/地理/河南/河南卷/2026_地理_河南_河南卷_placeholder.rar,1
2026,地理,湖北,placeholder,local,湖北卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\湖北卷\地理\2026年高考地理试题和答案.rar,papers/2026/地理/湖北/湖北卷/2026_地理_湖北_湖北卷_placeholder.rar,1
2026,地理,海南,missing,missing,,,,0
2026,地理,重庆,placeholder,local,重庆卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\重庆卷\地理\2026年高考地理试题和答案.rar,papers/2026/地理/重庆/重庆卷/2026_地理_重庆_重庆卷_placeholder.rar,1
2026,地理,贵州,placeholder,local,贵州卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\贵州卷\地理\2026年高考地理试题和答案.rar,papers/2026/地理/贵州/贵州卷/2026_地理_贵州_贵州卷_placeholder.rar,1
2026,地理,云南,placeholder,local,云南卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\云南卷\地理\2026年高考地理试题和答案.rar,papers/2026/地理/云南/云南卷/2026_地理_云南_云南卷_placeholder.rar,1
2026,地理,西藏,missing,missing,,,,0
2026,地理,甘肃,placeholder,local,甘肃卷,H:\New folder\2026高考真题+答案\2026年高考真题答案（按省份分类）\甘肃卷\地理\2026年高考地理试题和答案.rar,papers/2026/地理/甘肃/甘肃卷/2026_地理_甘肃_甘肃卷_placeholder.rar,1
2026,地理,新疆,missing,missing,,,,0
